Metric,temp_3 (Â°C),SR (W/mt2),PM2.5 (Âµg/mÂ³),WS (m/s),PM10 (Âµg/mÂ³),NO2 (Âµg/mÂ³),AC POWER-3 (W),AC CURRENT-1 (A),AC VOLTAGE-3 (V),DC-Voltage,DC-Power,metric_date,metric_time,dust_conc
8/1/2023 0:00,50,5.9,153.3,0.52,153.3,11.94,0,0,0,451.1,0,2023-08-01,,137.988184496819
8/1/2023 0:15,50,5.4,134.7,0.4,134.7,8.93,0,0,0,451.1,0,2023-08-01,,144.261794316821
8/1/2023 0:30,50,5.8,134.7,0.35,134.7,13.95,0,0,0,451.1,0,2023-08-01,,146.875798408488
8/1/2023 0:45,50,5.6,134.7,0.36,134.7,13.16,0,0,0,451.1,0,2023-08-01,,146.352997590154
8/1/2023 1:00,50,6.2,134.7,0.42,134.7,8.34,0,0,0,451.1,0,2023-08-01,,143.216192680154
8/1/2023 1:15,50,6.1,107.4,0.33,107.4,15.13,0,0,0,451.1,0,2023-08-01,,147.921400045155
8/1/2023 1:30,50,6.4,107.4,0.54,107.4,10.3,0,0,0,451.1,0,2023-08-01,,136.942582860152
8/1/2023 1:45,50,6.1,107.4,0.35,107.4,3.65,0,0,0,451.1,0,2023-08-01,,146.875798408488
8/1/2023 2:00,50,6.3,107.4,0.51,107.4,8.17,0,0,0,451.1,0,2023-08-01,,138.510985315152
8/1/2023 2:15,50,6.9,99,0.82,99,11.38,0,0,0,451.1,0,2023-08-01,,122.304159946815
8/1/2023 2:30,50,6.8,99,0.7,99,2.84,0,0,0,451.1,0,2023-08-01,,128.577769766817
8/1/2023 2:45,50,5.7,99,0.26,99,9.42,0,0,0,451.1,0,2023-08-01,,151.581005773489
8/1/2023 3:00,50,5.9,99,0.36,99,4.19,0,0,0,451.1,0,2023-08-01,,146.352997590154
8/1/2023 3:15,50,6,82.6,0.37,82.6,4.85,0,0,0,451.1,0,2023-08-01,,145.830196771821
8/1/2023 3:30,50,5.7,82.6,0.42,82.6,3.71,0,0,0,451.1,0,2023-08-01,,143.216192680154
8/1/2023 3:45,50,5.9,82.6,0.6,82.6,5.67,0,0,0,451.1,0,2023-08-01,,133.805777950151
8/1/2023 4:00,50,6,82.6,0.48,82.6,11.14,0,0,0,451.1,0,2023-08-01,,140.079387770153
8/1/2023 4:15,50,5.8,71.3,0.41,71.3,11.14,0,0,0,451.1,0,2023-08-01,,143.738993498487
8/1/2023 4:30,50,5.9,71.3,0.59,71.3,9.98,0,0,0,451.1,0,2023-08-01,,134.328578768485
8/1/2023 4:45,50,5.8,71.3,0.5,71.3,10.79,0,0,0,451.1,0,2023-08-01,,139.033786133486
8/1/2023 5:00,50,6,71.3,0.4,71.3,18.79,0,0,0,451.1,0,2023-08-01,,144.261794316821
8/1/2023 5:15,50,6.1,72.2,0.75,72.2,13.06,0,0,0,451.1,0,2023-08-01,,125.963765675149
8/1/2023 5:30,50,6.2,72.2,0.64,72.2,14.58,0,0,0,451.1,0,2023-08-01,,131.714574676817
8/1/2023 5:45,50,6.7,72.2,0.31,72.2,16.84,0,0,0,451.1,0,2023-08-01,,148.967001681822
8/1/2023 6:00,50,10.8,72.2,0.38,72.2,15.19,74,0.92,246,451.1,230,2023-08-01,,145.307395953487
8/1/2023 6:15,50,17.9,72.9,0.27,72.9,10.46,273,1.87,245.9,451.1,539,2023-08-01,,151.058204955156
8/1/2023 6:30,50,25.6,72.9,0.29,72.9,7.77,530,2.28,246.1,451.1,868,2023-08-01,,150.012603318489
