Metric,temp_3 (Â°C),SR (W/mt2),PM2.5 (Âµg/mÂ³),WS (m/s),PM10 (Âµg/mÂ³),NO2 (Âµg/mÂ³),AC POWER-3 (W),AC CURRENT-1 (A),AC VOLTAGE-3 (V),DC-Voltage,DC-Power,metric_date,metric_time,dust_conc
11/1/2023 0:00,57.1,4.5,431.8,0.1,431.8,60.29,11644,46.61,252.3,657.6,18425,2023-11-01,00:00:00,159.945818866824
11/1/2023 0:15,57.1,4.3,431.8,0.1,431.8,65,11644,46.61,252.3,657.6,18425,2023-11-01,00:15:00,159.945818866824
11/1/2023 0:30,57.1,4.6,431.8,0.18,431.8,63.72,11644,46.61,252.3,657.6,18425,2023-11-01,00:30:00,155.763412320157
11/1/2023 0:45,57.1,4.7,398.9,0.09,398.9,65.5,11644,46.61,252.3,657.6,18425,2023-11-01,00:45:00,160.468619685158
11/1/2023 1:00,57.1,4.7,398.9,0.09,398.9,55.53,11644,46.61,252.3,657.6,18425,2023-11-01,01:00:00,160.468619685158
11/1/2023 1:15,57.1,4.7,398.9,0.09,398.9,55.53,11644,46.61,252.3,657.6,18425,2023-11-01,01:15:00,160.468619685158
11/1/2023 1:30,57.1,4.7,429,0.1,429,61.66,11644,46.61,252.3,657.6,18425,2023-11-01,01:30:00,159.945818866824
11/1/2023 1:45,57.1,4.8,429,0.09,429,60.18,11644,46.61,252.3,657.6,18425,2023-11-01,01:45:00,160.468619685158
11/1/2023 2:00,57.1,4.7,429,0.1,429,61.17,11644,46.61,252.3,657.6,18425,2023-11-01,02:00:00,159.945818866824
11/1/2023 2:15,57.1,4.8,409.7,0.1,409.7,48.37,11644,46.61,252.3,657.6,18425,2023-11-01,02:15:00,159.945818866824
11/1/2023 2:30,57.1,4.9,404.7,0.09,404.7,53.76,11644,46.61,252.3,657.6,18425,2023-11-01,02:30:00,160.468619685158
11/1/2023 2:45,57.1,4.8,404.7,0.1,404.7,49.64,11644,46.61,252.3,657.6,18425,2023-11-01,02:45:00,159.945818866824
11/1/2023 3:00,57.1,4.7,404.7,0.1,404.7,46.44,11644,46.61,252.3,657.6,18425,2023-11-01,03:00:00,159.945818866824
11/1/2023 3:15,57.1,4.7,404.7,0.1,404.7,46.44,11644,46.61,252.3,657.6,18425,2023-11-01,03:15:00,159.945818866824
11/1/2023 3:30,57.1,4.9,397.8,0.1,397.8,49.35,11644,46.61,252.3,657.6,18425,2023-11-01,03:30:00,159.945818866824
11/1/2023 3:45,57.1,5,397.8,0.1,397.8,46.67,11644,46.61,252.3,657.6,18425,2023-11-01,03:45:00,159.945818866824
11/1/2023 4:00,57.1,4.8,397.8,0.1,397.8,42.94,11644,46.61,252.3,657.6,18425,2023-11-01,04:00:00,159.945818866824
11/1/2023 4:15,57.1,4.8,388.4,0.1,388.4,50.59,11644,46.61,252.3,657.6,18425,2023-11-01,04:15:00,159.945818866824
11/1/2023 4:30,57.1,4.8,386,0.1,386,47.56,11644,46.61,252.3,657.6,18425,2023-11-01,04:30:00,159.945818866824
11/1/2023 4:45,57.1,4.8,386,0.1,386,47.32,11644,46.61,252.3,657.6,18425,2023-11-01,04:45:00,159.945818866824
11/1/2023 5:00,57.1,4.8,386,0.1,386,47.32,11644,46.61,252.3,657.6,18425,2023-11-01,05:00:00,159.945818866824
11/1/2023 5:15,57.1,4.8,369.6,0.1,369.6,39.72,11644,46.61,252.3,657.6,18425,2023-11-01,05:15:00,159.945818866824
11/1/2023 5:30,57.1,5,365.5,0.1,365.5,43.38,11644,46.61,252.3,657.6,18425,2023-11-01,05:30:00,159.945818866824
11/1/2023 5:45,57.1,4.9,365.5,0.1,365.5,45.11,11644,46.61,252.3,657.6,18425,2023-11-01,05:45:00,159.945818866824
11/1/2023 6:00,57.1,4.9,365.5,0.1,365.5,38.38,11644,46.61,252.3,657.6,18425,2023-11-01,06:00:00,159.945818866824
11/1/2023 6:15,57.1,5.1,350,0.1,350,43.1,11644,46.61,252.3,657.6,18425,2023-11-01,06:15:00,159.945818866824
11/1/2023 6:30,57.1,5.6,346.1,0.1,346.1,38.27,11644,46.61,252.3,657.6,18425,2023-11-01,06:30:00,159.945818866824
11/1/2023 6:45,57.1,8.2,346.1,0.1,346.1,30.77,11644,46.61,252.3,657.6,18425,2023-11-01,06:45:00,159.945818866824
11/1/2023 7:00,57.1,14.8,346.1,0.1,346.1,42.15,11644,46.61,252.3,657.6,18425,2023-11-01,07:00:00,159.945818866824
11/1/2023 7:15,57.1,23.3,323.6,0.1,323.6,32.33,11644,46.61,252.3,657.6,18425,2023-11-01,07:15:00,159.945818866824
11/1/2023 7:30,57.1,33.9,317.9,0.1,317.9,42.53,11644,46.61,252.3,657.6,18425,2023-11-01,07:30:00,159.945818866824
